id,Date,Time,latitude,longitude,districts,subdistrict
1,7/8/2021,22,-6.169094195,106.875481,Jakarta_Pusat,Cempaka_Putih
2,8/30/2021,18,-6.169096601,106.8753707,Jakarta_Pusat,Cempaka_Putih
3,1/29/2021,8,-6.169124164,106.8756617,Jakarta_Pusat,Cempaka_Putih
4,7/15/2021,19,-6.169100894,106.8749887,Jakarta_Pusat,Cempaka_Putih
5,5/15/2021,15,-6.169095995,106.8747677,Jakarta_Pusat,Cempaka_Putih
6,7/24/2021,16,-6.169123916,106.8750985,Jakarta_Pusat,Cempaka_Putih
7,9/19/2021,4,-6.169117202,106.8758604,Jakarta_Pusat,Cempaka_Putih
8,11/12/2021,13,-6.169089623,106.8749155,Jakarta_Pusat,Cempaka_Putih
9,7/27/2021,2,-6.169107187,106.8759206,Jakarta_Pusat,Cempaka_Putih
10,10/4/2021,10,-6.16909394,106.8757427,Jakarta_Pusat,Cempaka_Putih
11,4/5/2021,18,-6.169123882,106.8750545,Jakarta_Pusat,Cempaka_Putih
12,12/17/2021,8,-6.169102979,106.8757882,Jakarta_Pusat,Cempaka_Putih
13,9/12/2021,10,-6.178333769,106.8745836,Jakarta_Pusat,Cempaka_Putih
14,11/17/2021,11,-6.178432345,106.8743658,Jakarta_Pusat,Cempaka_Putih
15,1/2/2021,15,-6.178279814,106.8745514,Jakarta_Pusat,Cempaka_Putih
16,1/24/2021,8,-6.178304654,106.8745445,Jakarta_Pusat,Cempaka_Putih
17,7/15/2021,18,-6.177779854,106.8744137,Jakarta_Pusat,Cempaka_Putih
18,2/23/2021,9,-6.178188446,106.8744455,Jakarta_Pusat,Cempaka_Putih
19,3/20/2021,21,-6.178352147,106.8745142,Jakarta_Pusat,Cempaka_Putih
20,9/30/2021,3,-6.178093453,106.8744274,Jakarta_Pusat,Cempaka_Putih
21,7/23/2021,8,-6.177799373,106.8744433,Jakarta_Pusat,Cempaka_Putih
22,1/16/2021,21,-6.177765934,106.8745657,Jakarta_Pusat,Cempaka_Putih
23,5/5/2021,8,-6.183531517,106.8681953,Jakarta_Pusat,Cempaka_Putih
24,7/9/2021,9,-6.182918911,106.8676046,Jakarta_Pusat,Cempaka_Putih
25,10/18/2021,11,-6.18402355,106.8674777,Jakarta_Pusat,Cempaka_Putih
26,4/19/2021,23,-6.183100162,106.8673664,Jakarta_Pusat,Cempaka_Putih
27,3/3/2021,20,-6.184275134,106.8673149,Jakarta_Pusat,Cempaka_Putih
28,1/13/2021,20,-6.183939194,106.8675856,Jakarta_Pusat,Cempaka_Putih
29,5/21/2021,21,-6.183906129,106.8674813,Jakarta_Pusat,Cempaka_Putih
30,4/7/2021,15,-6.183710554,106.8681289,Jakarta_Pusat,Cempaka_Putih
31,4/18/2021,2,-6.1843137,106.8675498,Jakarta_Pusat,Cempaka_Putih
32,3/10/2021,20,-6.183204343,106.8676692,Jakarta_Pusat,Cempaka_Putih
33,12/17/2021,21,-6.184374402,106.867416,Jakarta_Pusat,Cempaka_Putih
34,1/31/2021,18,-6.18714948,106.8686771,Jakarta_Pusat,Cempaka_Putih
35,5/7/2021,14,-6.187273144,106.8690872,Jakarta_Pusat,Cempaka_Putih
36,9/5/2021,18,-6.187141857,106.8692601,Jakarta_Pusat,Cempaka_Putih
37,2/9/2021,6,-6.187016904,106.8691308,Jakarta_Pusat,Cempaka_Putih
38,3/25/2021,11,-6.187133366,106.8694233,Jakarta_Pusat,Cempaka_Putih
39,1/5/2021,1,-6.187300356,106.8692291,Jakarta_Pusat,Cempaka_Putih
40,4/22/2021,14,-6.187251523,106.8694076,Jakarta_Pusat,Cempaka_Putih
41,1/10/2021,19,-6.187275085,106.8686895,Jakarta_Pusat,Cempaka_Putih
42,2/18/2021,9,-6.187019008,106.8692982,Jakarta_Pusat,Cempaka_Putih
43,6/1/2021,21,-6.187165089,106.8692879,Jakarta_Pusat,Cempaka_Putih
44,10/16/2021,15,-6.187019004,106.8689309,Jakarta_Pusat,Cempaka_Putih
45,1/4/2021,11,-6.18191624,106.8681663,Jakarta_Pusat,Cempaka_Putih
46,9/6/2021,6,-6.181933781,106.8661604,Jakarta_Pusat,Cempaka_Putih
