datetime,time,lat,long
3/7/2022,0:00:00,-6.268916964,106.7801123
3/7/2022,0:02:00,-6.268916964,106.7801123
3/7/2022,0:04:00,-6.268916964,106.7801123
3/7/2022,0:06:00,-6.268916964,106.7801123
3/7/2022,0:08:00,-6.268916964,106.7801123
3/7/2022,0:10:00,-6.268916964,106.7801123
3/7/2022,0:12:00,-6.268916964,106.7801123
3/7/2022,0:14:00,-6.268916964,106.7801123
3/7/2022,0:16:00,-6.268916964,106.7801123
3/7/2022,0:18:00,-6.268916964,106.7801123
3/7/2022,0:20:00,-6.268916964,106.7801123
3/7/2022,0:22:00,-6.268916964,106.7801123
3/7/2022,0:24:00,-6.268916964,106.7801123
3/7/2022,0:26:00,-6.268916964,106.7801123
3/7/2022,0:28:00,-6.268916964,106.7801123
3/7/2022,0:30:00,-6.268916964,106.7801123
3/7/2022,0:32:00,-6.268916964,106.7801123
3/7/2022,0:34:00,-6.268916964,106.7801123
3/7/2022,0:36:00,-6.268916964,106.7801123
3/7/2022,0:38:00,-6.268916964,106.7801123
3/7/2022,0:40:00,-6.268916964,106.7801123
3/7/2022,0:42:00,-6.268916964,106.7801123
3/7/2022,0:44:00,-6.268916964,106.7801123
3/7/2022,0:46:00,-6.268916964,106.7801123
3/7/2022,0:48:00,-6.268916964,106.7801123
3/7/2022,0:50:00,-6.268916964,106.7801123
3/7/2022,0:52:00,-6.268916964,106.7801123
3/7/2022,0:54:00,-6.268916964,106.7801123
3/7/2022,0:56:00,-6.268916964,106.7801123
3/7/2022,0:58:00,-6.268916964,106.7801123
3/7/2022,1:00:00,-6.268916964,106.7801123
3/7/2022,1:02:00,-6.268916964,106.7801123
3/7/2022,1:04:00,-6.268916964,106.7801123
3/7/2022,1:06:00,-6.268916964,106.7801123
3/7/2022,1:08:00,-6.268916964,106.7801123
3/7/2022,1:10:00,-6.268916964,106.7801123
3/7/2022,1:12:00,-6.268916964,106.7801123
3/7/2022,1:14:00,-6.268916964,106.7801123
3/7/2022,1:16:00,-6.268916964,106.7801123
3/7/2022,1:18:00,-6.268916964,106.7801123
3/7/2022,1:20:00,-6.268916964,106.7801123
3/7/2022,1:22:00,-6.268916964,106.7801123
3/7/2022,1:24:00,-6.268916964,106.7801123
3/7/2022,1:26:00,-6.268916964,106.7801123
3/7/2022,1:28:00,-6.268916964,106.7801123
3/7/2022,1:30:00,-6.268916964,106.7801123
3/7/2022,1:32:00,-6.268916964,106.7801123
3/7/2022,1:34:00,-6.268916964,106.7801123
3/7/2022,1:36:00,-6.268916964,106.7801123
3/7/2022,1:38:00,-6.268916964,106.7801123
3/7/2022,1:40:00,-6.268916964,106.7801123
3/7/2022,1:42:00,-6.268916964,106.7801123
3/7/2022,1:44:00,-6.268916964,106.7801123
3/7/2022,1:46:00,-6.268916964,106.7801123
3/7/2022,1:48:00,-6.268916964,106.7801123
3/7/2022,1:50:00,-6.268916964,106.7801123
3/7/2022,1:52:00,-6.268916964,106.7801123
3/7/2022,1:54:00,-6.268916964,106.7801123
3/7/2022,1:56:00,-6.268916964,106.7801123
3/7/2022,1:58:00,-6.268916964,106.7801123
3/7/2022,2:00:00,-6.268916964,106.7801123
3/7/2022,2:02:00,-6.268916964,106.7801123
3/7/2022,2:04:00,-6.268916964,106.7801123
3/7/2022,2:06:00,-6.268916964,106.7801123
3/7/2022,2:08:00,-6.268916964,106.7801123
3/7/2022,2:10:00,-6.268916964,106.7801123
3/7/2022,2:12:00,-6.268916964,106.7801123
3/7/2022,2:14:00,-6.268916964,106.7801123
3/7/2022,2:16:00,-6.268916964,106.7801123
3/7/2022,2:18:00,-6.268916964,106.7801123
3/7/2022,2:20:00,-6.268916964,106.7801123
3/7/2022,2:22:00,-6.268916964,106.7801123
3/7/2022,2:24:00,-6.268916964,106.7801123
3/7/2022,2:26:00,-6.268916964,106.7801123
3/7/2022,2:28:00,-6.268916964,106.7801123
3/7/2022,2:30:00,-6.268916964,106.7801123
3/7/2022,2:32:00,-6.268916964,106.7801123
3/7/2022,2:34:00,-6.268916964,106.7801123
3/7/2022,2:36:00,-6.268916964,106.7801123
3/7/2022,2:38:00,-6.268916964,106.7801123
3/7/2022,2:40:00,-6.268916964,106.7801123
3/7/2022,2:42:00,-6.268916964,106.7801123
3/7/2022,2:44:00,-6.268916964,106.7801123
3/7/2022,2:46:00,-6.268916964,106.7801123
3/7/2022,2:48:00,-6.268916964,106.7801123
3/7/2022,2:50:00,-6.268916964,106.7801123
3/7/2022,2:52:00,-6.268916964,106.7801123
3/7/2022,2:54:00,-6.268916964,106.7801123
3/7/2022,2:56:00,-6.268916964,106.7801123
3/7/2022,2:58:00,-6.268916964,106.7801123
3/7/2022,3:00:00,-6.268916964,106.7801123
3/7/2022,3:02:00,-6.268916964,106.7801123
3/7/2022,3:04:00,-6.268916964,106.7801123
3/7/2022,3:06:00,-6.268916964,106.7801123
3/7/2022,3:08:00,-6.268916964,106.7801123
3/7/2022,3:10:00,-6.268916964,106.7801123
3/7/2022,3:12:00,-6.268916964,106.7801123
3/7/2022,3:14:00,-6.268916964,106.7801123
3/7/2022,3:16:00,-6.268916964,106.7801123
3/7/2022,3:18:00,-6.268916964,106.7801123
3/7/2022,3:20:00,-6.268916964,106.7801123
3/7/2022,3:22:00,-6.268916964,106.7801123
3/7/2022,3:24:00,-6.268916964,106.7801123
3/7/2022,3:26:00,-6.268916964,106.7801123
3/7/2022,3:28:00,-6.268916964,106.7801123
3/7/2022,3:30:00,-6.268916964,106.7801123
3/7/2022,3:32:00,-6.268916964,106.7801123
3/7/2022,3:34:00,-6.268916964,106.7801123
3/7/2022,3:36:00,-6.268916964,106.7801123
3/7/2022,3:38:00,-6.268916964,106.7801123
3/7/2022,3:40:00,-6.268916964,106.7801123
3/7/2022,3:42:00,-6.268916964,106.7801123
3/7/2022,3:44:00,-6.268916964,106.7801123
3/7/2022,3:46:00,-6.268916964,106.7801123
3/7/2022,3:48:00,-6.268916964,106.7801123
3/7/2022,3:50:00,-6.268916964,106.7801123
3/7/2022,3:52:00,-6.268916964,106.7801123
3/7/2022,3:54:00,-6.268916964,106.7801123
3/7/2022,3:56:00,-6.268916964,106.7801123
3/7/2022,3:58:00,-6.268916964,106.7801123
3/7/2022,4:00:00,-6.268916964,106.7801123
3/7/2022,4:02:00,-6.268916964,106.7801123
3/7/2022,4:04:00,-6.268916964,106.7801123
3/7/2022,4:06:00,-6.268916964,106.7801123
3/7/2022,4:08:00,-6.268916964,106.7801123
3/7/2022,4:10:00,-6.268916964,106.7801123
3/7/2022,4:12:00,-6.268916964,106.7801123
3/7/2022,4:14:00,-6.268916964,106.7801123
3/7/2022,4:16:00,-6.268916964,106.7801123
3/7/2022,4:18:00,-6.268916964,106.7801123
3/7/2022,4:20:00,-6.268916964,106.7801123
3/7/2022,4:22:00,-6.268916964,106.7801123
3/7/2022,4:24:00,-6.268916964,106.7801123
3/7/2022,4:26:00,-6.268916964,106.7801123
3/7/2022,4:28:00,-6.268916964,106.7801123
3/7/2022,4:30:00,-6.268916964,106.7801123
3/7/2022,4:32:00,-6.267283015,106.7793838
3/7/2022,4:34:00,-6.266735475,106.7770013
3/7/2022,4:36:00,-6.266902516,106.7756735
3/7/2022,4:38:00,-6.266902516,106.7756735
3/7/2022,4:40:00,-6.266902516,106.7756735
3/7/2022,4:42:00,-6.266902516,106.7756735
3/7/2022,4:44:00,-6.266902516,106.7756735
3/7/2022,4:46:00,-6.266902516,106.7756735
3/7/2022,4:48:00,-6.266902516,106.7756735
3/7/2022,4:50:00,-6.266902516,106.7756735
3/7/2022,4:52:00,-6.266902516,106.7756735
3/7/2022,4:54:00,-6.266902516,106.7756735
3/7/2022,4:56:00,-6.266902516,106.7756735
3/7/2022,4:58:00,-6.266902516,106.7756735
3/7/2022,5:00:00,-6.266902516,106.7756735
3/7/2022,5:02:00,-6.266902516,106.7756735
3/7/2022,5:04:00,-6.266762088,106.7780785
3/7/2022,5:06:00,-6.268172525,106.7794601
3/7/2022,5:08:00,-6.268916964,106.7801123
3/7/2022,5:10:00,-6.268916964,106.7801123
3/7/2022,5:12:00,-6.268916964,106.7801123
3/7/2022,5:14:00,-6.268916964,106.7801123
3/7/2022,5:16:00,-6.268916964,106.7801123
3/7/2022,5:18:00,-6.268916964,106.7801123
3/7/2022,5:20:00,-6.268916964,106.7801123
3/7/2022,5:22:00,-6.268916964,106.7801123
3/7/2022,5:24:00,-6.268916964,106.7801123
3/7/2022,5:26:00,-6.268916964,106.7801123
3/7/2022,5:28:00,-6.268916964,106.7801123
3/7/2022,5:30:00,-6.268916964,106.7801123
3/7/2022,5:32:00,-6.268916964,106.7801123
3/7/2022,5:34:00,-6.268916964,106.7801123
3/7/2022,5:36:00,-6.268916964,106.7801123
3/7/2022,5:38:00,-6.268916964,106.7801123
3/7/2022,5:40:00,-6.268916964,106.7801123
3/7/2022,5:42:00,-6.268916964,106.7801123
3/7/2022,5:44:00,-6.268916964,106.7801123
3/7/2022,5:46:00,-6.268916964,106.7801123
3/7/2022,5:48:00,-6.268916964,106.7801123
3/7/2022,5:50:00,-6.268916964,106.7801123
3/7/2022,5:52:00,-6.268916964,106.7801123
3/7/2022,5:54:00,-6.268916964,106.7801123
3/7/2022,5:56:00,-6.268916964,106.7801123
3/7/2022,5:58:00,-6.268916964,106.7801123
3/7/2022,6:00:00,-6.268916964,106.7801123
3/7/2022,6:02:00,-6.268709514,106.7794068
3/7/2022,6:04:00,-6.266846112,106.7793362
3/7/2022,6:06:00,-6.265469702,106.7809682
3/7/2022,6:08:00,-6.264175636,106.7826556
3/7/2022,6:10:00,-6.263104268,106.7845405
