date,time,latitude,longitude
3/7/2022,0:00:00,-6.268916964,106.7801123
3/7/2022,0:01:00,-6.268916964,106.7801123
3/7/2022,0:02:00,-6.268916964,106.7801123
3/7/2022,0:03:00,-6.268916964,106.7801123
3/7/2022,0:04:00,-6.268916964,106.7801123
3/7/2022,0:05:00,-6.268916964,106.7801123
3/7/2022,0:06:00,-6.268916964,106.7801123
3/7/2022,0:07:00,-6.268916964,106.7801123
3/7/2022,0:08:00,-6.268916964,106.7801123
3/7/2022,0:09:00,-6.268916964,106.7801123
3/7/2022,0:10:00,-6.268916964,106.7801123
3/7/2022,0:11:00,-6.268916964,106.7801123
3/7/2022,0:12:00,-6.268916964,106.7801123
3/7/2022,0:13:00,-6.268916964,106.7801123
3/7/2022,0:14:00,-6.268916964,106.7801123
3/7/2022,0:15:00,-6.268916964,106.7801123
3/7/2022,0:16:00,-6.268916964,106.7801123
3/7/2022,0:17:00,-6.268916964,106.7801123
3/7/2022,0:18:00,-6.268916964,106.7801123
3/7/2022,0:19:00,-6.268916964,106.7801123
3/7/2022,0:20:00,-6.268916964,106.7801123
3/7/2022,0:21:00,-6.268916964,106.7801123
3/7/2022,0:22:00,-6.268916964,106.7801123
3/7/2022,0:23:00,-6.268916964,106.7801123
3/7/2022,0:24:00,-6.268916964,106.7801123
3/7/2022,0:25:00,-6.268916964,106.7801123
3/7/2022,0:26:00,-6.268916964,106.7801123
3/7/2022,0:27:00,-6.268916964,106.7801123
3/7/2022,0:28:00,-6.268916964,106.7801123
3/7/2022,0:29:00,-6.268916964,106.7801123
3/7/2022,0:30:00,-6.268916964,106.7801123
3/7/2022,0:31:00,-6.268916964,106.7801123
3/7/2022,0:32:00,-6.268916964,106.7801123
3/7/2022,0:33:00,-6.268916964,106.7801123
3/7/2022,0:34:00,-6.268916964,106.7801123
3/7/2022,0:35:00,-6.268916964,106.7801123
3/7/2022,0:36:00,-6.268916964,106.7801123
3/7/2022,0:37:00,-6.268916964,106.7801123
3/7/2022,0:38:00,-6.268916964,106.7801123
3/7/2022,0:39:00,-6.268916964,106.7801123
3/7/2022,0:40:00,-6.268916964,106.7801123
3/7/2022,0:41:00,-6.268916964,106.7801123
3/7/2022,0:42:00,-6.268916964,106.7801123
3/7/2022,0:43:00,-6.268916964,106.7801123
3/7/2022,0:44:00,-6.268916964,106.7801123
3/7/2022,0:45:00,-6.268916964,106.7801123
3/7/2022,0:46:00,-6.268916964,106.7801123
3/7/2022,0:47:00,-6.268916964,106.7801123
3/7/2022,0:48:00,-6.268916964,106.7801123
3/7/2022,0:49:00,-6.268916964,106.7801123
3/7/2022,0:50:00,-6.268916964,106.7801123
3/7/2022,0:51:00,-6.268916964,106.7801123
3/7/2022,0:52:00,-6.268916964,106.7801123
3/7/2022,0:53:00,-6.268916964,106.7801123
3/7/2022,0:54:00,-6.268916964,106.7801123
3/7/2022,0:55:00,-6.268916964,106.7801123
3/7/2022,0:56:00,-6.268916964,106.7801123
3/7/2022,0:57:00,-6.268916964,106.7801123
3/7/2022,0:58:00,-6.268916964,106.7801123
3/7/2022,0:59:00,-6.268916964,106.7801123
3/7/2022,1:00:00,-6.268916964,106.7801123
3/7/2022,1:01:00,-6.268916964,106.7801123
3/7/2022,1:02:00,-6.268916964,106.7801123
3/7/2022,1:03:00,-6.268916964,106.7801123
3/7/2022,1:04:00,-6.268916964,106.7801123
3/7/2022,1:05:00,-6.268916964,106.7801123
3/7/2022,1:06:00,-6.268916964,106.7801123
3/7/2022,1:07:00,-6.268916964,106.7801123
3/7/2022,1:08:00,-6.268916964,106.7801123
3/7/2022,1:09:00,-6.268916964,106.7801123
3/7/2022,1:10:00,-6.268916964,106.7801123
3/7/2022,1:11:00,-6.268916964,106.7801123
3/7/2022,1:12:00,-6.268916964,106.7801123
3/7/2022,1:13:00,-6.268916964,106.7801123
3/7/2022,1:14:00,-6.268916964,106.7801123
3/7/2022,1:15:00,-6.268916964,106.7801123
3/7/2022,1:16:00,-6.268916964,106.7801123
3/7/2022,1:17:00,-6.268916964,106.7801123
3/7/2022,1:18:00,-6.268916964,106.7801123
3/7/2022,1:19:00,-6.268916964,106.7801123
3/7/2022,1:20:00,-6.268916964,106.7801123
3/7/2022,1:21:00,-6.268916964,106.7801123
3/7/2022,1:22:00,-6.268916964,106.7801123
3/7/2022,1:23:00,-6.268916964,106.7801123
3/7/2022,1:24:00,-6.268916964,106.7801123
3/7/2022,1:25:00,-6.268916964,106.7801123
3/7/2022,1:26:00,-6.268916964,106.7801123
3/7/2022,1:27:00,-6.268916964,106.7801123
3/7/2022,1:28:00,-6.268916964,106.7801123
3/7/2022,1:29:00,-6.268916964,106.7801123
3/7/2022,1:30:00,-6.268916964,106.7801123
3/7/2022,1:31:00,-6.268916964,106.7801123
3/7/2022,1:32:00,-6.268916964,106.7801123
3/7/2022,1:33:00,-6.268916964,106.7801123
3/7/2022,1:34:00,-6.268916964,106.7801123
3/7/2022,1:35:00,-6.268916964,106.7801123
3/7/2022,1:36:00,-6.268916964,106.7801123
3/7/2022,1:37:00,-6.268916964,106.7801123
3/7/2022,1:38:00,-6.268916964,106.7801123
