date,time,lat,long
3/14/2022,0:00:00,-6.268916964,106.7801123
3/14/2022,0:02:00,-6.268916964,106.7801123
3/14/2022,0:04:00,-6.268916964,106.7801123
3/14/2022,0:06:00,-6.268916964,106.7801123
3/14/2022,0:08:00,-6.268916964,106.7801123
3/14/2022,0:10:00,-6.268916964,106.7801123
3/14/2022,0:12:00,-6.268916964,106.7801123
3/14/2022,0:14:00,-6.268916964,106.7801123
3/14/2022,0:16:00,-6.268916964,106.7801123
3/14/2022,0:18:00,-6.268916964,106.7801123
3/14/2022,0:20:00,-6.268916964,106.7801123
3/14/2022,0:22:00,-6.268916964,106.7801123
3/14/2022,0:24:00,-6.268916964,106.7801123
3/14/2022,0:26:00,-6.268916964,106.7801123
3/14/2022,0:28:00,-6.268916964,106.7801123
3/14/2022,0:30:00,-6.268916964,106.7801123
3/14/2022,0:32:00,-6.268916964,106.7801123
3/14/2022,0:34:00,-6.268916964,106.7801123
3/14/2022,0:36:00,-6.268916964,106.7801123
3/14/2022,0:38:00,-6.268916964,106.7801123
3/14/2022,0:40:00,-6.268916964,106.7801123
3/14/2022,0:42:00,-6.268916964,106.7801123
3/14/2022,0:44:00,-6.268916964,106.7801123
3/14/2022,0:46:00,-6.268916964,106.7801123
3/14/2022,0:48:00,-6.268916964,106.7801123
3/14/2022,0:50:00,-6.268916964,106.7801123
3/14/2022,0:52:00,-6.268916964,106.7801123
3/14/2022,0:54:00,-6.268916964,106.7801123
3/14/2022,0:56:00,-6.268916964,106.7801123
3/14/2022,0:58:00,-6.268916964,106.7801123
3/14/2022,1:00:00,-6.268916964,106.7801123
3/14/2022,1:02:00,-6.268916964,106.7801123
3/14/2022,1:04:00,-6.268916964,106.7801123
3/14/2022,1:06:00,-6.268916964,106.7801123
3/14/2022,1:08:00,-6.268916964,106.7801123
3/14/2022,1:10:00,-6.268916964,106.7801123
3/14/2022,1:12:00,-6.268916964,106.7801123
3/14/2022,1:14:00,-6.268916964,106.7801123
3/14/2022,1:16:00,-6.268916964,106.7801123
3/14/2022,1:18:00,-6.268916964,106.7801123
3/14/2022,1:20:00,-6.268916964,106.7801123
3/14/2022,1:22:00,-6.268916964,106.7801123
3/14/2022,1:24:00,-6.268916964,106.7801123
3/14/2022,1:26:00,-6.268916964,106.7801123
3/14/2022,1:28:00,-6.268916964,106.7801123
3/14/2022,1:30:00,-6.268916964,106.7801123
3/14/2022,1:32:00,-6.268916964,106.7801123
3/14/2022,1:34:00,-6.268916964,106.7801123
3/14/2022,1:36:00,-6.268916964,106.7801123
3/14/2022,1:38:00,-6.268916964,106.7801123
3/14/2022,1:40:00,-6.268916964,106.7801123
3/14/2022,1:42:00,-6.268916964,106.7801123
3/14/2022,1:44:00,-6.268916964,106.7801123
3/14/2022,1:46:00,-6.268916964,106.7801123
3/14/2022,1:48:00,-6.268916964,106.7801123
3/14/2022,1:50:00,-6.268916964,106.7801123
3/14/2022,1:52:00,-6.268916964,106.7801123
3/14/2022,1:54:00,-6.268916964,106.7801123
3/14/2022,1:56:00,-6.268916964,106.7801123
3/14/2022,1:58:00,-6.268916964,106.7801123
3/14/2022,2:00:00,-6.268916964,106.7801123
3/14/2022,2:02:00,-6.268916964,106.7801123
3/14/2022,2:04:00,-6.268916964,106.7801123
3/14/2022,2:06:00,-6.268916964,106.7801123
3/14/2022,2:08:00,-6.268916964,106.7801123
3/14/2022,2:10:00,-6.268916964,106.7801123
3/14/2022,2:12:00,-6.268916964,106.7801123
3/14/2022,2:14:00,-6.268916964,106.7801123
3/14/2022,2:16:00,-6.268916964,106.7801123
3/14/2022,2:18:00,-6.268916964,106.7801123
3/14/2022,2:20:00,-6.268916964,106.7801123
3/14/2022,2:22:00,-6.268916964,106.7801123
3/14/2022,2:24:00,-6.268916964,106.7801123
3/14/2022,2:26:00,-6.268916964,106.7801123
3/14/2022,2:28:00,-6.268916964,106.7801123
3/14/2022,2:30:00,-6.268916964,106.7801123
3/14/2022,2:32:00,-6.268916964,106.7801123
3/14/2022,2:34:00,-6.268916964,106.7801123
3/14/2022,2:36:00,-6.268916964,106.7801123
3/14/2022,2:38:00,-6.268916964,106.7801123
3/14/2022,2:40:00,-6.268916964,106.7801123
3/14/2022,2:42:00,-6.268916964,106.7801123
3/14/2022,2:44:00,-6.268916964,106.7801123
3/14/2022,2:46:00,-6.268916964,106.7801123
3/14/2022,2:48:00,-6.268916964,106.7801123
3/14/2022,2:50:00,-6.268916964,106.7801123
3/14/2022,2:52:00,-6.268916964,106.7801123
3/14/2022,2:54:00,-6.268916964,106.7801123
3/14/2022,2:56:00,-6.268916964,106.7801123
3/14/2022,2:58:00,-6.268916964,106.7801123
3/14/2022,3:00:00,-6.268916964,106.7801123
3/14/2022,3:02:00,-6.268916964,106.7801123
3/14/2022,3:04:00,-6.268916964,106.7801123
3/14/2022,3:06:00,-6.268916964,106.7801123
3/14/2022,3:08:00,-6.268916964,106.7801123
3/14/2022,3:10:00,-6.268916964,106.7801123
3/14/2022,3:12:00,-6.268916964,106.7801123
3/14/2022,3:14:00,-6.268916964,106.7801123
3/14/2022,3:16:00,-6.268916964,106.7801123
3/14/2022,3:18:00,-6.268916964,106.7801123
